Admiralty,25.1,2018-02-22 08:54:53.493823
Pulau Ubin,25.3,2018-02-22 08:54:53.493823
East Coast Parkway,26.8,2018-02-22 08:54:53.493823
Marina Barrage,26.7,2018-02-22 08:54:53.493823
Newton,26.2,2018-02-22 08:54:53.493823
Tuas South,25.9,2018-02-22 08:54:53.493823
Pasir Panjang,26.4,2018-02-22 08:54:53.493823
Jurong Island,26.1,2018-02-22 08:54:53.493823
Changi,26.5,2018-02-22 08:54:53.493823
Tai Seng,26.8,2018-02-22 08:54:53.493823
Jurong (West),24.9,2018-02-22 08:54:53.493823
Clementi,26.6,2018-02-22 08:54:53.493823
Sentosa Island,26.8,2018-02-22 08:54:53.493823
Admiralty,25.1,2018-02-22 09:00:45.050139
Pulau Ubin,25.3,2018-02-22 09:00:45.050139
East Coast Parkway,26.8,2018-02-22 09:00:45.050139
Marina Barrage,26.7,2018-02-22 09:00:45.050139
Newton,26.2,2018-02-22 09:00:45.050139
Tuas South,25.9,2018-02-22 09:00:45.050139
Pasir Panjang,26.4,2018-02-22 09:00:45.050139
Jurong Island,26.1,2018-02-22 09:00:45.050139
Changi,26.5,2018-02-22 09:00:45.050139
Tai Seng,26.8,2018-02-22 09:00:45.050139
Jurong (West),24.9,2018-02-22 09:00:45.050139
Clementi,26.6,2018-02-22 09:00:45.050139
Sentosa Island,26.8,2018-02-22 09:00:45.050139
Admiralty,25.1,2018-02-22 09:01:18.018696
Pulau Ubin,25.3,2018-02-22 09:01:18.018696
East Coast Parkway,26.8,2018-02-22 09:01:18.018696
Marina Barrage,26.7,2018-02-22 09:01:18.018696
Newton,26.2,2018-02-22 09:01:18.018696
Tuas South,25.9,2018-02-22 09:01:18.018696
Pasir Panjang,26.4,2018-02-22 09:01:18.018696
Jurong Island,26.1,2018-02-22 09:01:18.018696
Changi,26.5,2018-02-22 09:01:18.018696
Tai Seng,26.8,2018-02-22 09:01:18.018696
Jurong (West),24.9,2018-02-22 09:01:18.018696
Clementi,26.6,2018-02-22 09:01:18.018696
Sentosa Island,26.8,2018-02-22 09:01:18.018696
Admiralty,25.1,2018-02-22 10:24:47.380312
Pulau Ubin,25.3,2018-02-22 10:24:47.380312
East Coast Parkway,26.8,2018-02-22 10:24:47.380312
Marina Barrage,26.7,2018-02-22 10:24:47.380813
Newton,26.2,2018-02-22 10:24:47.380813
Tuas South,25.9,2018-02-22 10:24:47.380813
Pasir Panjang,26.4,2018-02-22 10:24:47.380813
Jurong Island,26.1,2018-02-22 10:24:47.380813
Changi,26.5,2018-02-22 10:24:47.380813
Tai Seng,26.8,2018-02-22 10:24:47.380813
Jurong (West),24.9,2018-02-22 10:24:47.380813
Clementi,26.6,2018-02-22 10:24:47.380813
Sentosa Island,26.8,2018-02-22 10:24:47.380813
Admiralty,31.4,2018-03-02 14:34:07.250522
East Coast Parkway,28.6,2018-03-02 14:34:07.250522
Marina Barrage,30.6,2018-03-02 14:34:07.250522
Ang Mo Kio,31.7,2018-03-02 14:34:07.250522
Newton,31.0,2018-03-02 14:34:07.250522
Tuas South,29.9,2018-03-02 14:34:07.250522
Pasir Panjang,29.0,2018-03-02 14:34:07.250522
Jurong Island,29.4,2018-03-02 14:34:07.251526
Changi,31.3,2018-03-02 14:34:07.251526
Tai Seng,30.8,2018-03-02 14:34:07.251526
Jurong (West),30.6,2018-03-02 14:34:07.251526
Clementi,32.9,2018-03-02 14:34:07.251526
Sentosa Island,28.9,2018-03-02 14:34:07.251526
Admiralty,31.3,2018-09-27 12:01:36.309433
Pulau Ubin,31.2,2018-09-27 12:01:36.309433
East Coast Parkway,29.3,2018-09-27 12:01:36.309433
Ang Mo Kio,31.6,2018-09-27 12:01:36.309433
Newton,31.4,2018-09-27 12:01:36.309433
Tuas South,31.2,2018-09-27 12:01:36.309433
Pasir Panjang,30.4,2018-09-27 12:01:36.309433
Jurong Island,30.6,2018-09-27 12:01:36.309433
Changi,31.3,2018-09-27 12:01:36.309433
Tai Seng,31.3,2018-09-27 12:01:36.309433
Jurong (West),31.5,2018-09-27 12:01:36.309433
Clementi,30.4,2018-09-27 12:01:36.309433
Sentosa Island,30.1,2018-09-27 12:01:36.309433
Admiralty,32.7,2018-09-27 14:55:24.640698
East Coast Parkway,30.4,2018-09-27 14:55:24.640698
Ang Mo Kio,31.9,2018-09-27 14:55:24.640698
Newton,30.8,2018-09-27 14:55:24.640698
Tuas South,32.2,2018-09-27 14:55:24.640698
Pasir Panjang,31.3,2018-09-27 14:55:24.640698
Jurong Island,31.6,2018-09-27 14:55:24.640698
Changi,31.9,2018-09-27 14:55:24.640698
Tai Seng,32.8,2018-09-27 14:55:24.640698
Jurong (West),32.2,2018-09-27 14:55:24.640698
Clementi,31.9,2018-09-27 14:55:24.640698
Sentosa Island,32.5,2018-09-27 14:55:24.640698
Admiralty,33.3,2018-09-28 16:19:36.283729
Pulau Ubin,31.8,2018-09-28 16:19:36.283729
East Coast Parkway,30.4,2018-09-28 16:19:36.283729
Ang Mo Kio,32.2,2018-09-28 16:19:36.283729
Newton,30.7,2018-09-28 16:19:36.283729
Tuas South,32.2,2018-09-28 16:19:36.283729
Pasir Panjang,32.4,2018-09-28 16:19:36.283729
Jurong Island,31.7,2018-09-28 16:19:36.283729
Changi,32.1,2018-09-28 16:19:36.283729
Tai Seng,33.0,2018-09-28 16:19:36.283729
Jurong (West),32.0,2018-09-28 16:19:36.283729
Clementi,31.4,2018-09-28 16:19:36.283729
Sentosa Island,32.3,2018-09-28 16:19:36.283729
Admiralty,28.4,2018-09-30 00:04:46.089397
Pulau Ubin,27.5,2018-09-30 00:04:46.093391
East Coast Parkway,28.9,2018-09-30 00:04:46.093391
Ang Mo Kio,28.2,2018-09-30 00:04:46.093391
Newton,27.8,2018-09-30 00:04:46.093391
Tuas South,29.0,2018-09-30 00:04:46.093391
Pasir Panjang,29.0,2018-09-30 00:04:46.093391
Jurong Island,28.4,2018-09-30 00:04:46.093391
Changi,28.3,2018-09-30 00:04:46.093391
Tai Seng,28.9,2018-09-30 00:04:46.093391
Jurong (West),28.4,2018-09-30 00:04:46.093391
Clementi,28.1,2018-09-30 00:04:46.093391
Sentosa Island,28.2,2018-09-30 00:04:46.093391
Admiralty,25.7,2020-06-21 12:33:00.268804
Pulau Ubin,24.1,2020-06-21 12:33:00.268842
East Coast Parkway,26.3,2020-06-21 12:33:00.268842
Ang Mo Kio,24.8,2020-06-21 12:33:00.268842
Newton,24.2,2020-06-21 12:33:00.268842
Tuas South,27.7,2020-06-21 12:33:00.268842
Pasir Panjang,25.9,2020-06-21 12:33:00.268842
Jurong Island,27.0,2020-06-21 12:33:00.268842
Tengah,27.3,2020-06-21 12:33:00.268842
Changi,26.1,2020-06-21 12:33:00.268842
Jurong (West),27.1,2020-06-21 12:33:00.268842
Clementi,24.9,2020-06-21 12:33:00.268842
Admiralty,25.6,2020-06-21 12:33:41.298097
Pulau Ubin,23.9,2020-06-21 12:33:41.298097
East Coast Parkway,25.9,2020-06-21 12:33:41.298097
Ang Mo Kio,25.2,2020-06-21 12:33:41.298097
Newton,24.6,2020-06-21 12:33:41.298097
Tuas South,27.5,2020-06-21 12:33:41.298097
Pasir Panjang,26.0,2020-06-21 12:33:41.298097
Jurong Island,27.0,2020-06-21 12:33:41.298097
Choa Chu Kang (South),26.6,2020-06-21 12:33:41.298097
Tengah,26.9,2020-06-21 12:33:41.298097
Changi,25.7,2020-06-21 12:33:41.298097
Tai Seng,24.4,2020-06-21 12:33:41.298097
Jurong (West),27.1,2020-06-21 12:33:41.298097
Clementi,24.6,2020-06-21 12:33:41.298097
